FixID,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration,Element,Tab,currentQuestion,Fixation Dispersion
180,733.1463,41.3613,2879826.5375,2879834.8675,8.33,title-for-questionID_1,cca_main.bpmn,1,
181,731.272,42.9076,2879851.535,2879859.883,8.348,title-for-questionID_1,cca_main.bpmn,1,
182,836.8464,22.5554,2880026.514,2880034.858,8.344,,cca_main.bpmn,1,
183,837.5262,57.4306,2880043.1995,2880068.188,24.9885,title-for-questionID_1,cca_main.bpmn,1,1.3733
184,840.721,49.4977,2880076.5135,2880084.847,8.3335,title-for-questionID_1,cca_main.bpmn,1,
185,1068.8391,680.6236,2880251.507,2880264.0175,12.5105,cca_2_createcustomer,cca_main.bpmn,1,
186,988.1479,502.2605,2880901.4355,2880909.8025,8.367,Flow_1kiqqut,cca_2_createcustomer.bpmn,1,
187,760.3635,543.9775,2881158.1765,2881206.3715,48.195,Participant_0iorj71,cca_2_createcustomer.bpmn,1,
188,832.6049,544.4309,2881356.2215,2881364.5525,8.331,Activity_0l8p9pu,cca_2_createcustomer.bpmn,1,
189,810.5667,584.4862,2881535.2805,2881547.798,12.5175,Activity_0l8p9pu,cca_2_createcustomer.bpmn,1,
190,676.4469,537.4896,2881722.7525,2881735.257,12.5045,Activity_1r902pd,cca_2_createcustomer.bpmn,1,
191,671.2971,538.438,2881764.421,2881789.423,25.002,Activity_1r902pd,cca_2_createcustomer.bpmn,1,0.489
192,678.9315,528.5896,2882006.055,2882014.3925,8.3375,Activity_1r902pd,cca_2_createcustomer.bpmn,1,
193,998.4062,529.2365,2882497.682,2882506.0345,8.3525,Flow_1kiqqut,cca_2_createcustomer.bpmn,1,
194,1010.0198,537.4199,2882735.1465,2882747.6595,12.513,Activity_0xduj8b,cca_2_createcustomer.bpmn,1,
195,843.9526,534.3538,2883047.6215,2883060.1165,12.495,Activity_0l8p9pu,cca_2_createcustomer.bpmn,1,
196,849.1223,535.2754,2883147.6315,2883155.9815,8.35,Activity_0l8p9pu,cca_2_createcustomer.bpmn,1,
197,833.8229,547.3809,2883289.269,2883301.7775,12.5085,Activity_0l8p9pu,cca_2_createcustomer.bpmn,1,
198,841.389,522.0106,2884072.49,2884080.822,8.332,Participant_0iorj71,cca_2_createcustomer.bpmn,1,
199,833.3266,531.1842,2884205.808,2884214.14,8.332,Activity_0l8p9pu,cca_2_createcustomer.bpmn,1,
200,829.8095,536.3964,2884301.698,2884318.354,16.656,Activity_0l8p9pu,cca_2_createcustomer.bpmn,1,
201,216.357,168.2292,2884780.766,2884789.075,8.309,tab-link-to_cca_2_createcustomer.bpmn,cca_2_createcustomer.bpmn,1,
202,243.0885,202.7762,2884814.088,2884822.409,8.321,file-explorer-area,cca_2_createcustomer.bpmn,1,
203,253.2169,227.9317,2884839.069,2884847.4025,8.3335,file-explorer-file_cca_main.bpmn,cca_2_createcustomer.bpmn,1,
204,256.5003,210.9867,2884880.7305,2884889.092,8.3615,file-explorer-area,cca_2_createcustomer.bpmn,1,
205,215.2806,183.2933,2884905.7745,2884930.7625,24.988,tab-link-to_cca_2_createcustomer.bpmn,cca_2_createcustomer.bpmn,1,1.8529
206,210.0348,175.9836,2884939.0835,2884955.739,16.6555,tab-link-to_cca_2_createcustomer.bpmn,cca_2_createcustomer.bpmn,1,1.3097
207,194.0642,173.2355,2884980.774,2884989.0765,8.3025,tab-link-to_cca_2_createcustomer.bpmn,cca_2_createcustomer.bpmn,1,
209,194.3933,181.9858,2885064.108,2885072.411,8.303,tab-link-to_cca_2_createcustomer.bpmn,cca_2_createcustomer.bpmn,1,
211,106.5296,187.1386,2885205.7325,2885284.872,79.1395,tab-link-to_cca_main.bpmn,cca_2_createcustomer.bpmn,1,2.4555
212,124.5847,199.1971,2885297.375,2885314.0175,16.6425,tab-link-to_cca_main.bpmn,cca_2_createcustomer.bpmn,1,1.0704
213,117.6651,210.9133,2885330.686,2885364.058,33.372,file-explorer-area,cca_2_createcustomer.bpmn,1,2.4173
214,113.2769,195.8214,2885380.7105,2885389.016,8.3055,tab-link-to_cca_main.bpmn,cca_2_createcustomer.bpmn,1,
216,126.9481,210.2157,2885480.717,2885488.9965,8.2795,file-explorer-area,cca_2_createcustomer.bpmn,1,
217,122.9772,199.4191,2885497.339,2885514.006,16.667,tab-link-to_cca_main.bpmn,cca_2_createcustomer.bpmn,1,
218,1319.8548,562.0107,2885980.615,2885988.9435,8.3285,cca_3_ratecustomer,cca_main.bpmn,1,
219,1372.933,576.0923,2886022.2735,2886030.603,8.3295,cca_3_ratecustomer,cca_main.bpmn,1,
220,1635.2189,559.7799,2886184.806,2886197.3035,12.4975,Activity_1f3yg6b,cca_main.bpmn,1,
221,1663.8559,527.0699,2886280.5725,2886288.908,8.3355,Participant_1tccln7,cca_main.bpmn,1,
222,1657.1287,553.2405,2886305.5695,2886322.237,16.6675,Activity_1f3yg6b,cca_main.bpmn,1,1.2248
223,1631.2393,563.7287,2886347.2465,2886413.894,66.6475,Activity_1f3yg6b,cca_main.bpmn,1,1.3544
224,1619.8869,587.5928,2886430.556,2886438.89,8.334,Activity_1f3yg6b,cca_main.bpmn,1,
225,1654.2432,576.7255,2886463.887,2886472.219,8.332,Activity_1f3yg6b,cca_main.bpmn,1,
226,1636.4389,568.8351,2886480.5505,2886488.885,8.3345,Activity_1f3yg6b,cca_main.bpmn,1,
227,1638.1904,569.4455,2886547.2335,2886555.5435,8.31,Activity_1f3yg6b,cca_main.bpmn,1,
228,1626.1589,594.3042,2886622.2045,2886630.535,8.3305,Activity_1f3yg6b,cca_main.bpmn,1,
229,1635.3682,584.4766,2886638.922,2886647.255,8.333,Activity_1f3yg6b,cca_main.bpmn,1,
230,1605.218,588.8349,2886772.1885,2886830.5595,58.371,Activity_1f3yg6b,cca_main.bpmn,1,0.8294
231,1601.9039,590.5494,2886855.5255,2886868.043,12.5175,Activity_1f3yg6b,cca_main.bpmn,1,
232,1598.694,584.7107,2886880.525,2886918.0165,37.4915,Activity_1f3yg6b,cca_main.bpmn,1,2.0044
233,1594.3233,591.4747,2886930.5025,2886938.8355,8.333,Activity_1f3yg6b,cca_main.bpmn,1,
234,1595.4657,586.4806,2886947.1675,2886968.011,20.8435,Activity_1f3yg6b,cca_main.bpmn,1,1.0233
235,1613.1798,586.1581,2887013.877,2887088.8575,74.9805,Activity_1f3yg6b,cca_main.bpmn,1,2.7384
236,1614.2794,598.5383,2887105.536,2887138.8155,33.2795,Activity_1f3yg6b,cca_main.bpmn,1,0.833
237,1620.7,597.7611,2887147.1535,2887163.809,16.6555,Activity_1f3yg6b,cca_main.bpmn,1,0.6891
238,1629.9371,588.9079,2887172.143,2887184.659,12.516,Activity_1f3yg6b,cca_main.bpmn,1,
239,1616.3331,598.0929,2887205.477,2887213.8055,8.3285,Activity_1f3yg6b,cca_main.bpmn,1,
240,1604.1783,603.5365,2887222.1375,2887230.509,8.3715,Activity_1f3yg6b,cca_main.bpmn,1,
241,1622.3886,594.0665,2887238.8525,2887247.1425,8.29,Activity_1f3yg6b,cca_main.bpmn,1,
242,1306.6952,619.0792,2887338.7945,2887347.18,8.3855,cca_3_ratecustomer,cca_main.bpmn,1,
243,1324.4428,591.8562,2887388.831,2887397.161,8.33,cca_3_ratecustomer,cca_main.bpmn,1,
244,1328.7269,597.8773,2887455.4595,2887463.783,8.3235,cca_3_ratecustomer,cca_main.bpmn,1,
245,1321.506,594.5671,2887497.1515,2887505.478,8.3265,cca_3_ratecustomer,cca_main.bpmn,1,
246,1337.0047,596.124,2887555.431,2887563.7645,8.3335,cca_3_ratecustomer,cca_main.bpmn,1,
247,1329.9441,584.0282,2887572.1475,2887580.4765,8.329,cca_3_ratecustomer,cca_main.bpmn,1,
248,1340.6039,571.5369,2887605.4255,2887613.7585,8.333,cca_3_ratecustomer,cca_main.bpmn,1,
249,1344.5897,578.4093,2887622.0925,2887630.423,8.3305,cca_3_ratecustomer,cca_main.bpmn,1,
250,1342.6936,583.6978,2887672.1205,2887697.101,24.9805,cca_3_ratecustomer,cca_main.bpmn,1,0.4389
251,720.0455,79.4492,2887805.408,2887813.744,8.336,answer_area_for_questionID_1,cca_main.bpmn,1,
252,717.1418,107.8294,2887826.2435,2887838.766,12.5225,option-answer-for-questionID_1_option_I don't know,cca_main.bpmn,1,
253,724.3553,102.2127,2887892.9965,2887913.7245,20.728,option-answer-for-questionID_1_option_I don't know,cca_main.bpmn,1,3.2963
254,708.6989,88.0653,2887926.2365,2887942.913,16.6765,answer_area_for_questionID_1,cca_main.bpmn,1,
255,712.3809,43.9554,2887959.588,2887972.107,12.519,title-for-questionID_1,cca_main.bpmn,1,
256,716.1224,44.7963,2888005.4145,2888030.422,25.0075,title-for-questionID_1,cca_main.bpmn,1,0.3385
257,714.3627,56.4575,2888055.389,2888080.409,25.02,title-for-questionID_1,cca_main.bpmn,1,0.7451
258,720.316,57.8659,2888117.8875,2888130.3755,12.488,title-for-questionID_1,cca_main.bpmn,1,
259,683.9452,43.9905,2888167.9475,2888180.385,12.4375,title-for-questionID_1,cca_main.bpmn,1,
